,Product categories,Indicator Type,Indicator,2017,2018,2019,2020,2021
7,Vegetable,Export,Export(US$ Mil),700.21,687.27,691.92,0,0
9,Miscellaneous,Export,Export(US$ Mil),0.8,0.91,0.96,0,0
19,Textiles and Clothing,Export,Export(US$ Mil),49.74,57.91,59.6,0,0
32,Hides and Skins,Export,Export(US$ Mil),15.38,15.11,8.08,0,0
52,Fuels,Export,Export(US$ Mil),43.55,89.39,69.57,0,0
