Reporter,Partner,Product categories,Parent,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,World,Intermediate goods,Consumer goods,Tariff,Weighted Average (%),0.84,0.48,0.55,0.62,0.86,0.97,1.82,1.71,1.48,1.46,1.44,1.43,1.64,1.53,1.64,1.64,2.08,2.3,2.3,2.36,2.52,2.74,2.79,2.78,3.48,3.6,,,6.5,,7.81,,,
Australia,World,Textiles and Clothing,Consumer goods,Export,Export Product share(%),1.28,0.93,1.4,2.04,2.11,2.05,1.83,1.85,2.18,2.29,2.25,1.64,1.49,1.52,2.35,2.46,2.89,3.63,3.95,4.76,5.28,5.23,5.75,6.08,7.28,6.66,7.21,7.66,6.8,8.62,8.95,8.52,12.84,15.69
Australia,World,Mach and Elec,Capital goods,Export,Export Product share(%),2.39,2.97,3.04,3.1,3.32,3.96,4.13,3.54,3.36,3.5,3.26,3.6,4.15,4.1,5.17,5.01,5.59,6.1,6.5,6.34,6.85,7.21,8.01,8.12,8.87,9.26,9.5,8.89,7.9,6.93,6.45,5.69,4.83,4.62
Australia,Thailand,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,4.42,4.75,4.7,4.78,,5.74,5.1,,,,,5.21,5.62,,,,,,,,,,,,,,,,,,,,,
Australia,Unspecified,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,18.13,10.37,18.56,18.76,14.21,,,,12.21,,,,,,,,,,,,,,14.92,17.73,18.53,17.82,14.75,13.64,,,,,,
Australia,World,Intermediate goods,Consumer goods,Import,Import Product share(%),16.21,16.23,14.64,14.75,14.01,15.42,15.26,14.47,14.29,14.64,15.69,16.29,17.26,18.65,17.35,16.98,16.63,16.47,17.5,17.65,18.51,18.58,19.44,21.2,19.15,19.44,20.66,20.63,21.5,22.56,22.52,21.67,22.36,23.65
Australia,...,...,Miscellaneous,Development,Trade in services (% of GDP),,6.52,10.24,9.97,10.05,9.97,8.77,8.47,7.67,7.78,8.21,8.55,8.97,8.86,9.69,8.9,8.88,9.16,9.83,9.6,9.35,9.46,9.78,8.98,9.01,9.67,9.46,9.54,8.52,7.92,7.71,7.89,7.56,
Australia,World,Hides and Skins,Capital goods,Export,Export Product share(%),0.18,0.19,0.22,0.3,0.36,0.44,0.55,0.5,0.5,0.44,0.44,0.45,0.41,0.49,0.69,0.68,0.76,0.99,1.1,1.1,1.15,1.03,0.96,1.17,1.3,1.33,1.45,1.41,1.19,1.18,1.05,1.45,1.5,1.94
Australia,World,Minerals,Raw materials,Export,Export Product share(%),38.72,36.81,29.92,24.11,26.28,25.37,24.88,30.08,31.51,27.33,29.55,26.53,19.83,18.5,16.31,15.2,12.89,9.25,8.29,7.4,7.71,7.53,8.81,9.02,8.23,7.93,7.87,6.75,8.21,8.83,9.87,9.68,8.96,8.52
Australia,"Hong Kong, China",All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
Australia,New Zealand,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,5.63,5.46,6.48,7.45,7.55,6.65,5.86,5.96,7.51,6.01,6.97,7.01,6.96,6.38,5.56,,,4.67,5,4.7
Australia,World,All Products,All Products,Tariff,Simple Average (%),1.93,1.97,2.03,2.22,2.23,2.3,2.5,2.84,2.77,2.76,2.8,2.85,4.05,4.06,3.91,3.83,4.27,5.19,5.12,5.1,5.37,6.55,6.74,6.99,7.63,7.75,,,9.67,,20.1,,,
Australia,World,Plastic or Rubber,Capital goods,Export,Export Product share(%),0.32,0.34,0.39,0.43,0.49,0.54,0.54,0.46,0.44,0.49,0.45,0.53,0.63,0.62,0.82,0.7,0.81,0.83,0.83,0.77,0.74,0.75,0.96,0.86,0.97,1.05,1.18,0.96,0.92,0.88,0.83,0.73,0.77,0.88
Australia,Singapore,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,5.01,5.22,5.99,6.23,5,5.31,7.09,5.55,6.05,5.51,4.38,,,,,,,,,,,,,,,,
Australia,Japan,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,8.86,9.17,9.05,10.36,10.49,13.89,15.88,17.94,12.39,19.39,19.33,18.9,19.5,22.87,18.98,19.82,20.47,18.86,18.24,18.57,19.36,19.76,16.63,16.33,16.37,16.77,20.25,23.11,23.51,24.06,26.8,25.31,25.29,25.38
Australia,World,Miscellaneous,Miscellaneous,Export,Export Product share(%),3.73,8.48,3.25,3.34,4.08,5.79,5.68,4.81,4.8,5.17,5.36,6.33,6.71,5.82,8.6,9.05,8.97,9.53,10.71,8.42,7.98,7.7,4.56,6.17,3.83,3.96,3.64,4.48,2.05,2.05,1.74,1.73,1.92,1.72
Australia,World,All Products,All Products,Tariff,Maximum Rate (%),26.57,24.48,25.61,26.81,27.82,27.61,28.08,29.7,31.2,32.44,29.83,182.42,212.94,3000,274.14,258.22,29.04,28.4,28.16,28.63,166.24,2655.76,3000,824.76,3000,3000,,,2761.55,,3000,,,
Australia,World,All Products,All Products,Tariff,Weighted Average (%),0.81,0.71,0.77,0.86,0.89,1.18,1.9,1.91,1.84,1.81,1.77,2.8,3.67,3.15,3.45,3.38,3.07,3.69,3.74,3.69,4.8,5.83,6.1,6.49,6.82,6.81,,,9.75,,18.56,,,
Australia,United Kingdom,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,...,...,Miscellaneous,Trade Indicator,Index of export market penetration,14.42,13.86,14.19,14.46,14.69,14.27,13.98,13.96,13.96,14.43,14.64,14.06,14.07,14.31,14.35,13.8,13.56,13.43,12.92,12.77,12.03,11.59,9.52,9.68,9.07,8.5,7.7,7.58,7.33,6.77,6.27,6.04,5.75,3.95
Australia,Unspecified,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,6.6,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,World,Raw materials,Raw materials,Export,Export Product share(%),64.02,59.19,57.62,55.83,58.69,56.44,57.53,61.37,62.48,60.19,62.83,59.61,54.99,54.47,44.68,46.55,47.36,43.4,39.11,42.2,42.43,41.14,40.55,39.84,41.24,39.75,38.21,40.66,43.27,45.91,47.27,48.75,51.1,52.69
Australia,"Korea, Rep.",All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,6.96,,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,India,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,3.98,,,4.31,4.71,4.18,4.23,3.33,3.35,4.92,5.85,7.12,7.38,6.09,,,,,,,,,,,,,,,,,,,,
Australia,World,Consumer goods,Consumer goods,Tariff,Weighted Average (%),1,0.96,1.04,1.12,1.17,1.57,2.53,2.72,2.6,2.68,2.59,4.96,5.94,5.68,6.39,6.33,4.69,5.89,6.08,6.08,8.97,11.49,12.22,12.91,13.67,14.05,,,16.04,,34.33,,,
Australia,...,...,Miscellaneous,Development,"GNI per capita, Atlas method (current US$)",,53730,55100,53190,51560,54140,60500,65150,66020,60210,50320,46630,44050,42330,37300,34090,30310,25480,21120,19990,20110,21120,21430,21740,21900,20440,19250,18830,18860,18500,18190,17300,15560,14100
Australia,New Zealand,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.78,4.55,4.55,4.38,4.03,4.31
Australia,World,Stone and Glass,Capital goods,Export,Export Product share(%),5.5,7.56,6.51,6.08,6.5,8.06,6.55,5.67,6.06,6.87,6.35,6.83,8.39,7.07,7.54,6.45,5.07,5.76,6.47,5.49,5.24,5.65,7.04,9.65,6.92,8.02,8.51,8.65,8.75,9.06,8.31,8.03,6.8,7.51
Australia,World,Capital goods,Capital goods,Export,Export Product share(%),3.75,4.51,4.67,4.55,4.7,5.72,5.93,5.19,4.81,5.1,4.73,5.06,5.95,5.76,7,6.71,7.63,8.25,9.47,9.81,9.1,9.58,11.48,10.67,11.96,11.5,11.55,10.54,9.95,8.86,7.95,7.18,6.66,6.19
Australia,World,Chemicals,Raw materials,Export,Export Product share(%),3.65,3.96,4.92,5.67,4.94,5.05,5.12,4.53,4.7,5.05,4.67,5.29,6.07,6.25,7.72,7.47,7.47,7.92,7.98,7.21,7.85,7.97,7.79,7.09,6.88,7.02,7.17,7.01,7.18,6.83,7.3,8.23,8.29,6.81
Australia,Japan,All Products,All Products,Import,Partner share(%)-Top 5 Import Partner,6.03,5.97,6.94,7.34,7.23,7.71,7.39,6.8,7.72,7.87,7.93,8.69,8.14,9,9.61,9.84,10.99,11.77,12.5,12.41,12.97,13.16,13.27,13.56,13.53,12.8,15.19,17.58,18.83,17.79,17.25,18.51,20.04,19.83
Australia,...,...,Miscellaneous,Development,Trade (% of GDP),,43.98,45.71,43.26,41.82,40.78,41.49,42.51,41.21,43.21,41.91,40.65,45.8,42.87,42.05,41.6,39.27,37.12,40.3,41.56,44.37,41.03,39.13,40.07,38.07,38.33,37.8,36.53,35.47,33.11,32.25,32.22,32.13,32.63
Australia,United States,All Products,All Products,Export,Partner share(%)-Top 5 Export Partner,,5.19,,,,4.62,5.31,4.14,,3.71,3.65,3.97,4.85,5.45,5.96,6.15,6.67,8.11,8.76,9.71,9.75,9.95,8.32,7.88,5.83,4.95,,5.88,6.44,6.71,7.21,8.14,7.37,8.25
Australia,World,Consumer goods,Consumer goods,Export,Export Product share(%),15.93,13.26,19.11,19.91,16.23,15.64,14.79,14.21,13.49,14.07,11.93,12.88,14.17,15.15,17.15,16.83,18.21,18.97,19.81,18.39,18.64,18.58,16.36,14.16,14.46,14.17,13.5,13.28,12.69,11.36,11,9.46,8.25,8.43
Australia,World,Animal,Capital goods,Export,Export Product share(%),4.59,5.74,5.86,5.71,5.77,6.57,7.6,6.39,5,4.6,4.37,4.76,5.57,5.4,6.53,7.03,8.08,9.25,8.89,9.71,9.86,9.18,9.89,8.69,8.42,8.19,9.37,10.23,10.39,10,9.35,9.2,9.02,9.42
Australia,World,Raw materials,Raw materials,Import,Import Product share(%),4.14,4.37,6,6.64,5.64,5.95,5.79,10.04,10.13,10.66,11.08,9.53,7.99,9.74,9.75,9.5,8.6,7.81,7.53,7.51,8.74,8.33,6.63,5.56,6.81,6.73,5.71,5.53,6,5.67,5.35,5.27,4.95,5.09
