,Product Category,Net Indicator Value
0,Consumer goods,428.95
1,Minerals,0.01
2,Raw materials,99.07
3,Capital goods,32.91
4,Plastic or Rubber,8.6
5,Vegetable,19.83
6,Footwear,0.26
7,Miscellaneous,14.02
8,Intermediate goods,1506.82
9,Textiles and Clothing,262.06
10,Food Products,612.61
11,Transportation,5.43
12,Hides and Skins,0.19
13,Wood,153.68
14,Mach and Elec,27.45
15,Metals,7.07
16,Stone and Glass,1.46
17,Fuels,24.42
18,Chemicals,924.35
19,Animal,7.03
