,Product Category,Net Indicator Value
0,Consumer goods,17610.63
1,Minerals,2.21
2,Raw materials,41953.76
3,Capital goods,803.63
4,Plastic or Rubber,419.97
5,Vegetable,87.53
6,Footwear,19.8
7,Miscellaneous,220.37
8,Intermediate goods,2695.88
9,Textiles and Clothing,71.96
10,Food Products,168.03
11,Transportation,1114.88
12,Hides and Skins,11.04
13,Wood,106.79
14,Mach and Elec,415.0
15,Metals,433.84
16,Stone and Glass,134.63
17,Fuels,57861.52
18,Chemicals,1944.97
19,Animal,117.14
