,Product Category,Net Indicator Value
0,Consumer goods,511.35
1,Minerals,27.2
2,Raw materials,2095.0
3,Capital goods,314.52
4,Plastic or Rubber,20.05
5,Vegetable,112.83
6,Footwear,0.54
7,Miscellaneous,174.83
8,Intermediate goods,3010.57
9,Textiles and Clothing,17.45
10,Food Products,312.75
11,Transportation,75.66
12,Hides and Skins,7.46
13,Wood,3.93
14,Mach and Elec,154.74
15,Metals,2550.85
16,Stone and Glass,3.74
17,Fuels,68.65
18,Chemicals,95.86
19,Animal,2347.2
