,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
49,Saudi Arabia,World,Stone and Glass,Export,Export(US$ Mil),2721.3,2699.09,1200.69,1453.21,1583.9,1702.55,1183.68,1323.12,1325.54,1434.56,1488.91,931.51,1309.28,1256.82,742.17,1015.1,534.41,736.81,507.22,232.55,205.11,129.8,152.06,178.05,0,121.78,98.47,69.84,57.93,96.76,53.64,0,0,0
50,Saudi Arabia,World,Intermediate goods,Import,Import(US$ Mil),34104.74,26444.33,28978.16,28085.51,27259.42,27947.41,37138.2,40537.0,38898.49,36502.27,32529.19,25354.17,20221.57,29822.59,22330.37,17840.94,13953.36,11084.89,9265.25,7356.82,7855.52,7822.23,7985.09,9807.38,0,9001.42,9048.68,7108.09,9006.54,11027.47,9076.2,0,0,0
51,Saudi Arabia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.62,550.11,587.96,635.88,9835.99,578.12,0,9433.08,7980.12,7322.51,7749.67,11303.24,11331.49,0,0,0
52,Saudi Arabia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16216.55,14103.51,17097.55,18041.07,18197.82,18331.85,23968.68,21384.31,21493.6,20254.19,16306.47,13881.72,13460.37,15481.05,11930.8,9933.23,8614.38,6874.08,5927.68,5048.95,5236.41,5445.99,5309.15,6404.16,0,6080.95,6043.61,4969.26,5801.48,7496.96,5875.5,0,0,0
54,Saudi Arabia,World,Capital goods,Import,Import(US$ Mil),37077.51,35282.62,42828.79,38690.37,38837.71,40396.22,55990.86,54376.58,53389.92,49149.7,40762.29,32012.31,33059.8,38907.89,32237.45,21940.76,18224.94,13384.69,12000.4,8890.56,7819.96,7786.09,8040.33,7806.76,0,6770.66,7192.53,6249.32,7283.68,8607.1,7284.09,0,0,0
57,Saudi Arabia,World,Fuels,Export,Export(US$ Mil),212585.26,132022.03,202377.26,231587.24,170244.95,136216.8,153058.93,284721.34,321928.14,337482.1,317622.01,215247.46,163080.62,281032.22,205427.32,188468.43,161716.35,110745.84,82270.09,63813.88,59787.72,70864.9,44877.05,33555.13,0,50060.19,42543.94,38621.52,38621.74,46550.97,43704.02,0,0,0
58,Saudi Arabia,World,Chemicals,Export,Export(US$ Mil),22399.43,15195.21,17901.32,19987.84,14255.18,13364.88,15622.35,19666.87,18526.56,18158.92,16473.85,10830.59,7915.89,9655.65,8354.43,7074.91,6478.68,5007.03,4311.18,3630.61,3567.95,3217.03,2480.18,2674.74,0,2803.92,2729.28,1990.63,1568.27,3022.36,1499.46,0,0,0
59,Saudi Arabia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,2872.34,3413.55,4020.13,3077.72,0,0,0,3406.7,3488.49,3199.07,2197.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Saudi Arabia,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25977.24,21403.99,19261.68,0,0,0,0,0,0
61,Saudi Arabia,World,Animal,Export,Export(US$ Mil),1404.97,1410.93,1434.83,1612.05,1680.92,1598.3,1542.04,1531.13,1372.61,1462.02,1432.79,1266.65,1146.56,972.03,824.32,623.19,530.72,427.41,338.04,215.87,191.4,177.47,203.27,197.21,0,141.96,122.51,78.49,95.96,120.01,19.38,0,0,0
