,Product categories,Indicator Type,Indicator,2017,2018,2019,2020,2021
10,Miscellaneous,Export,Export(US$ Mil),177167.04,189960.05,189065.32,169117.84,194008.39
22,Transportation,Export,Export(US$ Mil),266880.59,276110.13,274899.75,190785.04,216273.48
33,Mach and Elec,Export,Export(US$ Mil),362947.36,376388.94,368129.94,331581.36,375506.25
44,Fuels,Export,Export(US$ Mil),139082.25,192681.24,199735.69,155092.24,239780.82
45,Chemicals,Export,Export(US$ Mil),159474.33,170946.35,174570.41,166310.4,212136.22
