,Product Category,Net Indicator Value
0,Consumer goods,1802.38
1,Raw materials,113.85
2,Capital goods,13.85
3,Plastic or Rubber,1.82
4,Vegetable,5.0
5,Miscellaneous,5.37
6,Intermediate goods,18.03
7,Textiles and Clothing,0.31
8,Food Products,290.17
9,Transportation,1419.38
10,Hides and Skins,0.03
11,Wood,0.13
12,Mach and Elec,4.4
13,Metals,5.09
14,Stone and Glass,0.85
15,Fuels,108.36
16,Chemicals,0.4
17,Animal,110.61
