,Product Category,Net Indicator Value
0,Consumer goods,2206.21
1,Minerals,347.58
2,Raw materials,762.73
3,Capital goods,1786.54
4,Plastic or Rubber,198.08
5,Vegetable,215.66
6,Footwear,32.99
7,Miscellaneous,375.08
8,Intermediate goods,3425.22
9,Textiles and Clothing,503.89
10,Food Products,483.21
11,Transportation,255.67
12,Hides and Skins,5.99
13,Wood,46.39
14,Mach and Elec,2241.17
15,Metals,1114.12
16,Stone and Glass,93.49
17,Fuels,150.07
18,Chemicals,2082.66
19,Animal,40.26
