,Product category,2017,2018,2019,2020,2021
0,All Products,0.0,0.0,0.0,0.0,0.0
1,Raw materials,0.0,0.0,0.0,0.0,0.0
2,Vegetable,0.0,0.0,0.0,0.0,0.0
3,Textiles and Clothing,0.0,0.0,0.0,0.0,0.0
4,Fuels,0.0,0.0,0.0,0.0,0.0
