,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
19,United States,World,Food Products,Export,Export(US$ Mil),49386.31,43636.92,45277.8,46788.09,44095.68,43759.55,45066.87,45976.22,44489.21,40453.41,37842.57,31902.92,27696.75,28426.28,24306.08,21525.76,19257.47,18284.27,17773.94,17119.88,18720.93,18857.13,18188.67,19781.29,20816.45,19691.03,18400.49,18081.74,15946.87,15941.15,14726.66,0,0,0
20,United States,World,Consumer goods,Import,Import(US$ Mil),1072458.69,903422.72,949394.02,948294.3,885215.06,848244.16,862734.52,850923.7,797359.87,779461.66,770067.2,708671.32,588567.18,760932.07,755580.89,718543.86,665887.44,588314.97,521835.67,476212.45,437539.32,438558.6,377702.88,337962.54,306688.79,274954.13,258955.12,240854.15,213823.17,195238.7,177336.99,0,0,0
21,United States,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65769.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25066.62,26582.87,25413.12,0,0,0,0,0,0,0
22,United States,World,Transportation,Export,Export(US$ Mil),216273.48,190785.04,274899.75,276110.13,266880.59,265253.1,146887.87,155532.12,150544.8,150590.8,133288.98,111977.19,86094.29,189712.99,188858.01,164869.66,95533.85,85016.07,109210.82,108970.25,107262.99,106104.83,111469.24,114971.04,103818.58,89958.18,80091.09,81657.96,76658.23,78773.42,72338.59,0,0,0
23,United States,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,541531.35,457164.22,472464.91,563203.12,525764.71,481310.45,504028.12,486296.24,440351.8,425557.37,417340.26,382964.82,309530.23,356304.56,340106.65,305778.88,259836.02,210500.13,163313.86,133510.39,102267.29,100012.9,87775.12,75094.92,65811.6,54396.46,48505.59,41345.78,33673.21,27450.24,0,0,0,0
24,United States,World,Raw materials,Import,Import(US$ Mil),249798.88,171995.34,223795.77,254046.37,227562.2,189452.96,216179.07,341332.38,350020.35,392269.1,420683.09,331162.47,254859.15,430170.68,313337.35,288517.08,240635.72,187947.38,146002.06,118871.99,108392.31,123872.23,88513.57,75508.56,92024.39,85317.61,76164.78,68701.93,65952.16,65463.03,63688.55,0,0,0
25,United States,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74960.7,64090.7,74650.66,75226.09,67582.5,63245.05,62441.25,66825.97,65213.79,69971.99,65791.78,60469.05,51178.32,66573.42,62663.67,59647.55,54679.31,53568.57,52003.77,51447.93,57449.65,64921.65,57480.84,57884.42,65657.9,67514.64,64259.69,53453.45,47932.75,47748.66,48107.62,0,0,0
26,United States,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,58975.47,69100.92,66293.66,56242.32,55188.79,56103.38,53808.15,47339.02,54853.63,56009.02,48328.09,45707.87,0,50294.39,45391.8,38560.83,35900.25,33827.04,33204.01,40712.59,41569.59,38337.46,39068.59,36433.77,30914.9,28826.38,26831.62,26369.77,22805.69,22043.11,0,0,0
27,United States,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276458.85,212671.75,256371.09,265434.78,243507.47,230228.82,235745.09,240247.09,226070.23,215875.04,198288.69,163664.58,128997.66,151524.8,136520.32,134127.53,120246.88,110731.25,97411.74,97470.19,101295.13,111338.63,87041.71,78996.88,71354.75,56758.56,46309.29,50834.16,41602.72,40508.99,33223.83,0,0,0
28,United States,World,Hides and Skins,Export,Export(US$ Mil),3442.45,2691.01,3511.32,4106.0,4539.15,4742.35,5404.76,6042.01,6104.17,5387.35,5114.76,4408.93,3202.65,4276.98,4522.56,4311.81,4025.19,3821.36,3395.42,3266.53,3574.49,3335.02,2758.23,2826.66,3283.32,3122.0,3130.38,2851.88,2637.95,2646.8,2578.92,0,0,0
31,United States,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24215.5,0,0,0
32,United States,World,Wood,Export,Export(US$ Mil),39734.25,33529.4,36896.64,40899.95,39609.67,37718.14,39068.64,41167.02,40815.39,39837.03,40767.24,37542.03,31457.53,36511.27,34243.94,31218.8,28982.28,26781.1,24521.47,23695.86,24504.37,27094.55,24605.73,24316.46,26306.11,25849.87,27764.46,22659.59,20986.38,20948.31,19802.2,0,0,0
33,United States,World,Mach and Elec,Export,Export(US$ Mil),375506.25,331581.36,368129.94,376388.94,362947.36,348417.45,367246.82,384130.71,372716.53,371514.32,365122.65,334532.59,277908.72,365173.93,346755.25,327866.41,279850.42,260503.52,243806.89,240796.17,267294.75,307785.46,258921.86,244612.51,251637.93,220044.39,204816.11,174366.79,150870.04,138596.0,129358.69,0,0,0
35,United States,World,Metals,Export,Export(US$ Mil),75409.12,57591.48,68078.84,73519.91,68476.11,63728.28,68679.44,78916.12,79569.18,81982.13,81632.77,67436.94,53196.54,74834.35,63415.01,54950.45,44419.34,36742.21,30240.4,27696.76,28346.38,31818.05,26714.26,27253.02,28237.94,25686.99,25834.38,20008.9,17641.73,17568.69,18747.39,0,0,0
37,United States,World,Stone and Glass,Export,Export(US$ Mil),89885.72,67399.53,69637.15,74450.33,70753.79,68595.29,69475.99,75632.4,82521.7,82460.01,82033.8,61093.25,45903.35,60056.18,49235.45,39429.3,28720.52,24318.51,21058.79,19119.57,20723.52,21397.2,17942.17,17126.29,17270.7,16876.78,14737.82,13906.0,16403.79,11015.72,10158.95,0,0,0
38,United States,World,Intermediate goods,Import,Import(US$ Mil),496517.87,397329.63,391246.82,400762.12,356603.46,347230.18,355394.35,373263.57,340072.54,342837.05,352661.05,293434.8,234288.57,337135.67,308608.37,301274.51,264157.36,236093.69,189841.48,177742.89,171030.53,180760.31,162081.79,154306.97,143443.15,130905.85,124826.22,109666.72,93338.82,86577.21,81591.41,0,0,0
39,United States,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,306926.75,255021.62,292338.43,299744.49,282450.32,266701.92,280582.45,312371.47,300685.61,292567.77,281237.17,249248.67,204720.83,260890.17,248408.65,230244.13,211895.29,189878.78,169920.17,160918.22,163421.12,178919.99,163903.55,154148.09,150120.42,132579.56,126021.75,114253.03,100188.9,90155.34,85119.47,0,0,0
41,United States,World,Capital goods,Import,Import(US$ Mil),993211.69,829728.44,889468.66,899657.83,835944.76,775806.65,794043.56,771189.05,708152.49,693632.69,659369.66,578657.22,468709.13,571957.01,578182.0,551446.11,508724.0,462701.06,397108.46,377984.03,375288.59,426299.5,371274.93,328812.88,311271.24,284988.62,277256.18,237334.26,199992.25,176566.16,157381.24,0,0,0
44,United States,World,Fuels,Export,Export(US$ Mil),239780.82,155092.24,199735.69,192681.24,139082.25,94005.49,104105.88,155608.25,148872.44,137332.53,130566.67,81692.03,54936.72,76711.36,42015.52,34940.26,26688.46,19053.07,14164.64,11729.4,12767.4,13426.32,9966.46,10108.21,12659.7,12248.44,10475.06,8995.64,9832.06,11220.43,12308.87,0,0,0
45,United States,World,Chemicals,Export,Export(US$ Mil),212136.22,166310.4,174570.41,170946.35,159474.33,153095.74,161203.36,163827.05,162871.54,161854.28,160228.42,148785.11,128712.87,141335.02,119962.92,106070.73,94541.25,87805.02,73314.33,64662.38,63547.41,63838.99,58039.03,55549.59,56639.09,50300.1,49115.32,42123.64,37442.48,36809.27,35604.45,0,0,0
46,United States,World,Animal,Export,Export(US$ Mil),35868.9,29517.98,29616.62,29260.67,28154.61,25328.57,25703.15,31172.81,29225.0,27457.87,26434.09,20859.86,17619.19,20737.39,16336.3,13457.7,12434.47,10355.25,11884.57,10594.82,11951.38,11494.43,10161.11,9701.6,10675.7,10884.0,10746.83,9253.71,8347.03,8661.06,7683.46,0,0,0
